Student ID,Username,Student Name,Target Grade,Email,Portfolio,Grade,Rationale,prac-1,wrkshop-1,wrkshop-2,Group Work,Group Work Set 2,Group Work Set 3,A12,A4,A13,A14,A15,A5,A6,A7,A9,A10,A11,A3,A1,A2,A8
,student_0,Mallory Morissette,Pass,student_0@doubtfire.com,false,,,,,LA1-01,,,,Fix and Resubmit,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started
805522,student_1,Ethelyn Lindgren,Distinction,s224015719@deakin.edu.au,false,,,,,LA1-01,Group 3,,,Complete,Not Started,Demonstrate,Ready for Feedback,Fix and Resubmit,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started
,student_2,Brady Howe,Pass,student_2@doubtfire.com,true,,,,,LA1-01,Group 13letsgo,Group 1,,Discuss,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started
,student_3,Zackary Durgan,High Distinction,student_3@doubtfire.com,false,,,,,LA1-01,,,,Complete,Complete,Complete,Complete,Complete,Discuss,Ready for Feedback,Not Started,Not Started,Not Started,Not Started,Complete,Complete,Complete,Not Started
,student_4,Harley Becker,Pass,student_4@doubtfire.com,false,,,,,LA1-01,Group 1,,,Fix and Resubmit,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started
,student_5,Josefina Kiehn,High Distinction,student_5@doubtfire.com,false,,,,,LA1-01,,,,Complete,Complete,Complete,Complete,Complete,Complete,Ready for Feedback,Not Started,Not Started,Not Started,Not Started,Complete,Complete,Complete,Not Started
,cliff,Cliff Warren,Distinction,cliff@doubtfire.com,true,,,,,,Group 13letsgo,,,Complete,Discuss,Complete,Complete,Complete,Ready for Feedback,Not Started,Not Started,Not Started,Not Started,Not Started,Complete,Not Started,Not Started,Not Started
,student_6,Luanne Grady,High Distinction,student_6@doubtfire.com,false,,,,LA1-02,,,,,Complete,Not Started,Complete,Ready for Feedback,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Complete,Discuss,Not Started
,student_7,Roberto Boehm,High Distinction,student_7@doubtfire.com,false,,,,LA1-02,,,,,Complete,Not Started,Complete,Demonstrate,Working On It,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Ready for Feedback,Complete,Complete,Not Started
,student_8,Gonzalo Schultz,High Distinction,student_8@doubtfire.com,true,,,,LA1-02,,Group 3,Group 2,,Complete,Complete,Complete,Complete,Complete,Complete,Demonstrate,Fix and Resubmit,Not Started,Not Started,Not Started,Complete,Complete,Complete,Not Started
,student_9,Cletus Kirlin,Distinction,student_9@doubtfire.com,false,,,,LA1-02,,Group 5,,,Complete,Not Started,Discuss,Ready for Feedback,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started
,student_10,Augustine Doyle,Distinction,student_10@doubtfire.com,false,,,,LA1-02,,Group 5,,,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Ready for Feedback,Not Started,Not Started,Complete,Not Started,Not Started,Not Started
,student_11,Denny Collier,Distinction,student_11@doubtfire.com,false,,,,LA1-02,,,,,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Demonstrate,Not Started,Not Started,Complete,Not Started,Not Started,Not Started
,student_12,Ivonne Pouros,Distinction,student_12@doubtfire.com,false,,,LA1-03,,,Group 1,,,Demonstrate,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started
,student_13,Essie Dickinson,Credit,student_13@doubtfire.com,false,,,LA1-03,,,Food,,,Complete,Not Started,Discuss,Fix and Resubmit,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started
,student_14,Sylvester Rau,Credit,student_14@doubtfire.com,false,,,LA1-03,,,Group 3,,,Complete,Complete,Complete,Complete,Complete,Feedback Exceeded,Ready for Feedback,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started
,student_15,Sterling Grady,Credit,student_15@doubtfire.com,false,,,LA1-03,,,,,,Complete,Fail,Complete,Complete,Complete,Fix and Resubmit,Fix and Resubmit,Feedback Exceeded,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started
,student_16,Deloras Bergstrom,Pass,student_16@doubtfire.com,false,,,LA1-03,,,Group 14,Group 1,,Ready for Feedback,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started
,student_17,Krystal Crooks,Pass,student_17@doubtfire.com,true,,,LA1-03,,,Group 1,,,Redo,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started
